Date;SSS;SST;Oxygen (mmol m-3);SPCO2 (Pa);NO3 (mmol m-3);PO4 (mmol m-3);Si (mmol m-3);Fe (mmol m-3);Chl-a (mg m-3);Zoo as carbon (mmol m-3)
2022-05-26T00:00:00.000Z;32.91573715;29.96072197;199.4467621;39.85803986;0.001894744;0.098043501;3.512369871;0.001411463;0.10867516;
2022-05-27T00:00:00.000Z;33.00576782;29.94680595;199.6541748;40.00473022;0.00162036;0.10048908;3.517800331;0.001513271;0.108333163;
2022-05-28T00:00:00.000Z;33.14310074;29.93362236;200.0925293;39.97803497;0.002236808;0.104292229;3.500609875;0.001575155;0.108540349;
2022-05-29T00:00:00.000Z;33.33842087;30.03689766;200.2285919;40.0745163;0.003840966;0.105952896;3.480219126;0.001543166;0.110969007;
2022-05-30T00:00:00.000Z;33.30789948;30.08011055;199.9137421;40.30802917;0.00439009;0.103686683;3.36709547;0.001317421;0.112895854;
2022-05-31T00:00:00.000Z;33.12784195;30.06106758;199.4872131;40.35194778;0.004277213;0.099159233;3.215722322;0.001142261;0.113658294;
2022-06-01T00:00:00.000Z;33.89160919;29.6946125;199.5210571;40.16466522;0.002669731;0.098123617;3.24217844;0.001192034;0.111880764;
2022-06-02T00:00:00.000Z;33.92713165;29.64362907;199.8599243;39.98664856;0.002154903;0.100592211;3.255053997;0.001252652;0.110209629;
2022-06-03T00:00:00.000Z;33.94393921;29.68819046;199.9671021;40.05387115;0.002438978;0.102577507;3.195578098;0.001202822;0.110187091;
2022-06-04T00:00:00.000Z;33.92731094;29.92827034;199.7409515;40.23812485;0.004052649;0.104685672;3.068577528;0.001103238;0.113003232;
2022-06-05T00:00:00.000Z;33.93167114;29.67373085;199.6986084;40.04907608;0.003481519;0.104628414;2.953186035;0.00102719;0.115241155;
2022-06-06T00:00:00.000Z;33.95233536;29.8307209;199.6929626;39.97360229;0.003292847;0.102091052;2.952756882;0.001020024;0.114719518;
2022-06-07T00:00:00.000Z;33.99101639;29.80203438;199.9455872;40.1602211;0.002879229;0.102658883;2.96412468;0.001048148;0.114569612;
2022-06-08T00:00:00.000Z;34.04721451;29.9938736;200.1413422;40.3047905;0.003185532;0.109336957;2.891883135;0.001091428;0.118317693;
2022-06-09T00:00:00.000Z;34.08040619;29.81620026;200.3912659;40.29584122;0.002346426;0.121253721;2.775519609;0.001230265;0.121632755;
2022-06-10T00:00:00.000Z;34.12390137;29.61537361;200.5110931;40.11512375;0.001719549;0.127260983;2.686318636;0.001298188;0.118837602;
2022-06-11T00:00:00.000Z;34.11240768;29.53876114;200.3869019;39.98555756;0.001772321;0.13020061;2.679297209;0.001384261;0.119207673;
2022-06-12T00:00:00.000Z;34.09407806;29.44286346;200.7484589;39.87508774;0.00191749;0.135704935;2.707619429;0.001536679;0.121034302;
2022-06-13T00:00:00.000Z;34.11254883;29.47283745;200.8319092;39.82520676;0.002244507;0.138654351;2.653341293;0.001519628;0.120817646;
2022-06-14T00:00:00.000Z;34.15462875;29.3949337;200.4342346;39.73447418;0.002070101;0.135324672;2.563027143;0.001327561;0.116270572;
2022-06-15T00:00:00.000Z;34.18529892;29.27349091;200.0171356;39.48608017;0.002085067;0.130805492;2.536567926;0.001190947;0.112508439;
2022-06-16T00:00:00.000Z;34.1884079;29.2102375;199.9242096;39.24013138;0.002075682;0.129974514;2.519856691;0.001164768;0.112207182;
2022-06-17T00:00:00.000Z;34.18935013;29.22282982;200.0570068;39.1608696;0.002111841;0.130051613;2.482370615;0.001138901;0.112336434;
2022-06-18T00:00:00.000Z;34.14610291;29.21668053;200.0666199;39.17878723;0.002302048;0.129382953;2.449924469;0.001081593;0.111392364;
